OBJECTID;CODE_VOIE;NOM_VOIE;TYPE_AMENAGEMENT;REALISATION;CIRCUL2R;CIRCVOIT;AFFECTATION;TOURNGAUCHE;SHAPE.LEN
59866;;  ;Piste;2014;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;146.44682442814
59869;17167;Avenue de la Paix;Bande;2001;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;147.744893596148
59872;60160;  Voie-Centrale;Bande;2012;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;179.124512179014
59877;;  ;Bande;2009;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;91.6336607046916
60182;;  ;Bande;2009;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;23.6228893237047
60183;;  ;Bande;2009;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;61.8652163982314
60184;;  ;Bande;2009;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;77.4428462889116
60186;;  ;Bande;2009;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;76.8936020656745
60187;;  ;Bande;2009;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;27.543334946952196
60188;;  ;Bande;2014;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;310.569892583992
60189;;  ;Bande;2014;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;182.214235175047
60502;;  ;Bande;2014;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;121.27860899598102
60503;21679;Route de Saint-Loup;Bande;2014;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;332.85831966531003
60504;07536;Route de Crans;Bande;2014;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;179.42496582189102
60505;07536;Route de Crans;Bande;2014;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;239.662692539822
60506;07536;Route de Crans;Bande;2014;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;87.0376322957923
60509;;  ;Bande;2014;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;14.6432919796062
60510;;  ;Sas;2014;unidirectionnelle;dans le sens;vélos + cyclomoteurs;NON;2.97228868046157
60512;;  ;Bande;2014;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;46.67547628586539
60513;;  ;Bande;2014;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;46.5474981692119
60516;;  ;Bande;2014;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;23.1018122486403
60824;;  ;Contresens;2014;unidirectionnelle;contresens;vélos + cyclomoteurs;;84.72950489646449
60825;;  ;Dérogation 2R;2014;bidirectionnelle;;au statut de la rue : vélos seuls;;80.6419872026973
61142;22853;Route de Sous-Moulin;Bande;~2003;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;88.9625817901918
61143;22853;Route de Sous-Moulin;Bande;~2003;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;52.8646765457057
61144;22853;Route de Sous-Moulin;Bande;~2003;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;51.8322636556196
61146;23590;Avenue de Thônex;Bande;2003;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;143.96722439499902
61148;23590;Avenue de Thônex;Bande;2003;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;60.0080867035853
61151;;  ;Bande;2014;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;33.1280882748691
56000;05746;Route de Chevrens;Bande;~2003;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;487.901254766563
56001;05746;Route de Chevrens;Bande;~2003;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;174.244179435821
56002;05746;Route de Chevrens;Bande;~2003;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;266.28966332259
56003;05746;Route de Chevrens;Bande;~2003;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;263.77177401598
56004;05746;Route de Chevrens;Bande;~2003;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;284.645240362187
56005;05746;Route de Chevrens;Bande;~2003;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;202.95274796606003
56006;05746;Route de Chevrens;Bande;~2003;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;122.309301015021
56007;05746;Route de Chevrens;Bande;~2003;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;104.319492091444
56008;05916;Rue Jean-Robert- CHOUET;Contresens;2009;unidirectionnelle; ;vélos + cyclomoteurs;;172.710835335637
56009;05916;Rue Jean-Robert- CHOUET;Sas;2009;unidirectionnelle;dans le sens;vélos + cyclomoteurs;NON;5.65406933102168
56011;05983;Rampe de Choully;Bande;~2007;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;43.4083339417328
56012;06017;Rue Henri- CHRISTINÉ;Bande;2004;unidirectionnelle;contresens;vélos + cyclomoteurs;;8.98002248574487
56013;06017;Rue Henri- CHRISTINÉ;Contresens;2004;unidirectionnelle;contresens;vélos + cyclomoteurs;;116.68093984898
56014;06084;Place du Cirque;Bande;2011;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;32.3717685645996
56015;06084;Place du Cirque;Sas;2011;unidirectionnelle;dans le sens;vélos + cyclomoteurs;NON;3.85206438160112
56016;06084;Place du Cirque;Sas;2011;unidirectionnelle;dans le sens;vélos + cyclomoteurs;NON;3.81508846555358
56017;06114;Rue de la Cité;Dérogation 2R;1999;bidirectionnelle; ;au statut de la rue;;153.124821748926
56018;06254;Chemin de la Clairière;Dérogation 2R;1998;bidirectionnelle; ;au statut de la rue : vélos seuls;;99.6597171395801
56019;06270;Place Edouard- CLAPARÈDE;Bande;1992;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;45.3899401004326
56020;06270;Place Edouard- CLAPARÈDE;Bande;1992;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;11.475765769655599
56022;06319;Rue du Cloître;Dérogation 2R;1999;bidirectionnelle; ;au statut de la rue : vélos seuls;;84.49347414418229
56023;06327;Rue du Clos;Contresens;2010;unidirectionnelle; ;vélos + cyclomoteurs;;54.5593222537552
56024;06327;Rue du Clos;Contresens;2010;unidirectionnelle; ;vélos + cyclomoteurs;;57.5265366118835
56025;06327;Rue du Clos;Contresens;2010;unidirectionnelle; ;vélos + cyclomoteurs;;75.95336658414641
56026;06378;Boulevard de la Cluse;Bande;1996;unidirectionnelle;contresens;vélos + cyclomoteurs;;28.1219060520442
56027;06378;Boulevard de la Cluse;Dérogation 2R;2008;bidirectionnelle; ;mixité piétons;;74.04242057292409
56028;06378;Boulevard de la Cluse;Piste;1995;bidirectionnelle;dans le sens;vélos + cyclomoteurs;;7.4132111800487595
56029;06483;Route de Collex;Piste;2006;bidirectionnelle;;mixité piétons;;100.39377223898501
56030;06483;Route de Collex;Piste;2006;bidirectionnelle;;mixité piétons;;130.94153610870802
56031;06483;Route de Collex;Piste;2006;bidirectionnelle;;mixité piétons;;115.249481868374
56032;06483;Route de Collex;Piste;2006;bidirectionnelle;;mixité piétons;;316.934790260807
56033;06483;Route de Collex;Piste;2006;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;21.7916910771055
56034;06483;Route de Collex;Piste;2010;unidirectionnelle;dans le sens;mixité piétons;;125.308450842498
56035;06483;Route de Collex;Piste;2010;unidirectionnelle;dans le sens;mixité piétons;;129.446335355866
56036;06483;Route de Collex;Piste;2010;unidirectionnelle;dans le sens;mixité piétons;;141.95246422658502
56037;06483;Route de Collex;Piste;2010;unidirectionnelle;dans le sens;mixité piétons;;80.15471135543119
56038;06483;Route de Collex;Piste;2010;unidirectionnelle;dans le sens;mixité piétons;;112.157409302396
56039;06483;Route de Collex;Piste;2010;unidirectionnelle;dans le sens;mixité piétons;;123.226930975158
56040;06483;Route de Collex;Piste;2010;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;82.39532916939218
56041;06491;Rue de la Colline;Contresens;2003;; ;vélos + cyclomoteurs;;34.2576558080646
56045;06548;Quai de Cologny;Piste;1960;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;304.67952818276603
56046;06548;Quai de Cologny;Piste;1960;unidirectionnelle;dans le sens;mixité piétons;;186.46136974227102
56048;06548;Quai de Cologny;Dérogation 2R;2015;unidirectionnelle;dans le sens;au statut de la rue : vélos seuls;;430.920983383245
56049;06548;Quai de Cologny;Dérogation 2R;2015;unidirectionnelle;dans le sens;au statut de la rue : vélos seuls;;299.916443591664
56050;06548;Quai de Cologny;Dérogation 2R;2015;unidirectionnelle;dans le sens;au statut de la rue : vélos seuls;;251.85850299737203
56051;06548;Quai de Cologny;Dérogation 2R;2015;unidirectionnelle;dans le sens;au statut de la rue : vélos seuls;;937.974171266433
56057;06572;Rue du Colombier;Contresens;2009;unidirectionnelle; ;vélos + cyclomoteurs;;70.5261233609905
56058;06610;Route de Colovrex;Bande; ;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;549.343178344494
56060;06610;Route de Colovrex;Bande;2005;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;24.9164071751511
56061;06610;Route de Colovrex;Piste; ;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;607.460972299949
56064;06718;Rue du Commerce;Dérogation 2R;1993;bidirectionnelle; ;au statut de la rue : vélos seuls;;93.95117508578589
56065;06785;Avenue des Communes-Réunies;Bande;~2000;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;18.5151451821984
56066;06785;Avenue des Communes-Réunies;Bande;~2000;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;38.9304164116889
56067;06785;Avenue des Communes-Réunies;Bande;~2000;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;17.746894750841296
56068;06785;Avenue des Communes-Réunies;Bande;~2000;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;10.475942032608799
56069;06785;Avenue des Communes-Réunies;Bande;~2000;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;23.989357153062
56070;06785;Avenue des Communes-Réunies;Bande;~2000;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;5.25280877245688
56071;06785;Avenue des Communes-Réunies;Bande;~2000;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;11.543907067930299
56072;06785;Avenue des Communes-Réunies;Bande;~2000;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;18.223638559812297
56073;06785;Avenue des Communes-Réunies;Bande;1997;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;19.107268250589897
56074;06785;Avenue des Communes-Réunies;Piste;1997;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;335.387683530251
56075;06785;Avenue des Communes-Réunies;Bande;2008;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;128.542242815548
56076;06785;Avenue des Communes-Réunies;Piste;2008;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;95.4052264824869
56077;06785;Avenue des Communes-Réunies;Bande;2008;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;5.0259426976439
56078;06785;Avenue des Communes-Réunies;Bande;2008;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;69.6504472705463
56079;06785;Avenue des Communes-Réunies;Piste; ;bidirectionnelle;dans le sens;vélos + cyclomoteurs;;301.984384058861
56080;06785;Avenue des Communes-Réunies;Piste;1996;bidirectionnelle;dans le sens;vélos + cyclomoteurs;;11.131042179418799
56081;06785;Avenue des Communes-Réunies;Piste;1996;bidirectionnelle;dans le sens;vélos + cyclomoteurs;;148.056454636002
56082;06785;Avenue des Communes-Réunies;Piste;1996;bidirectionnelle;dans le sens;vélos + cyclomoteurs;;197.689719939331
56083;06785;Avenue des Communes-Réunies;Piste;1997;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;4.42651108994889
56084;06785;Avenue des Communes-Réunies;Piste;1997;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;233.94689097067604
56085;06785;Avenue des Communes-Réunies;Piste;1997;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;215.45709900646003
56086;06785;Avenue des Communes-Réunies;Piste;2008;bidirectionnelle; ;vélos + cyclomoteurs;;49.0355863220426
56087;06785;Avenue des Communes-Réunies;Piste;2008;bidirectionnelle; ;vélos + cyclomoteurs;;92.7669886761038
56088;06785;Avenue des Communes-Réunies;Piste;2008;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;139.62960389448602
56089;06831;Route de Compois;Piste;1986;bidirectionnelle;dans le sens;mixité piétons;;270.290218556623
56090;06831;Route de Compois;Piste;1986;bidirectionnelle;dans le sens;mixité piétons;;448.985484199626
56091;06831;Route de Compois;Piste;1986;bidirectionnelle;dans le sens;mixité piétons;;190.249478111619
56092;06831;Route de Compois;Piste;1986;bidirectionnelle;dans le sens;mixité piétons;;317.533710357401
56093;06831;Route de Compois;Piste;1986;bidirectionnelle;dans le sens;mixité piétons;;82.1103465430835
56094;06831;Route de Compois;Piste;1986;bidirectionnelle;dans le sens;mixité piétons;;224.68727766423203
56095;06831;Route de Compois;Piste;1986;bidirectionnelle;dans le sens;mixité piétons;;230.937043313726
56096;06831;Route de Compois;Piste;1986;bidirectionnelle;dans le sens;mixité piétons;;200.409000782441
56097;06831;Route de Compois;Piste;1986;bidirectionnelle;dans le sens;mixité piétons;;85.37700274791979
