COMMUNE;NOM_ECOLE;STATUT;LIEN_WWW;NB_EL_DERNIER_RELEVE;NB_1P_DERNIER_RELEVE;NB_2P_DERNIER_RELEVE;NB_3P_DERNIER_RELEVE;NB_4P_DERNIER_RELEVE;NB_5P_DERNIER_RELEVE;NB_6P_DERNIER_RELEVE;NB_7P_DERNIER_RELEVE;NB_8P_DERNIER_RELEVE;NB_CL_DERNIER_RELEVE;NB_EL_2018;NB_CL_2018;NB_EL_2017;NB_CL_2017;NB_EL_2016;NB_CL_2016;NB_EL_2015;NB_CL_2015;NB_EL_2014;NB_CL_2014;NB_EL_2013;NB_CL_2013;NB_EL_2012;NB_CL_2012;SHAPE.AREA;SHAPE.LEN
Chêne-Bougeries;Montagne;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Montagne.JPG;85.0;34.0;23.0;28.0;0.0;0.0;0.0;0.0;0.0;4.0;88.0;4.0;85.0;4.0;85.0;4.0;74.0;4.0;62.0;3.0;66.0;3.0;69.0;3.0;408.46970000000005;99.3197612614776
Chancy;Chancy;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Chancy.JPG;209.0;26.0;21.0;21.0;40.0;26.0;31.0;25.0;19.0;10.0;209.0;10.0;216.0;10.0;216.0;10.0;189.0;9.0;176.0;8.0;169.0;8.0;134.0;6.0;1349.613751;195.20178467633602
Chêne-Bourg;Floraire;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Floraire.JPG;73.0;18.0;20.0;18.0;17.0;0.0;0.0;0.0;0.0;4.0;75.0;4.0;78.0;4.0;78.0;4.0;77.0;4.0;72.0;4.0;72.0;4.0;86.0;4.0;562.75;125.54018244933602
Cologny;Cologny;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Cologny-Manoir.JPG;143.0;10.0;22.0;22.0;20.0;15.0;22.0;22.0;10.0;7.0;142.0;7.0;138.0;7.0;128.0;6.0;113.0;5.0;108.0;5.0;107.0;5.0;104.0;5.0;1600.06895;216.134228271586
Genève-Cité;Cropettes CM;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Cropettes primaire.JPG;187.0;0.0;0.0;0.0;0.0;60.0;47.0;45.0;35.0;9.0;173.0;9.0;177.0;9.0;191.0;10.0;201.0;10.0;216.0;11.0;227.0;12.0;228.0;12.0;1129.214897;220.32588041588002
Genève-Cité;Necker;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Necker.JPG;76.0;19.0;19.0;23.0;15.0;0.0;0.0;0.0;0.0;4.0;76.0;4.0;70.0;4.0;54.0;3.0;67.0;4.0;70.0;4.0;70.0;4.0;69.0;4.0;638.738601;101.46646196202201
Genève-Cité;Saint-Antoine;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Saint-Antoine.JPG;81.0;30.0;20.0;17.0;14.0;0.0;0.0;0.0;0.0;4.0;76.0;4.0;80.0;4.0;74.0;4.0;82.0;4.0;77.0;4.0;75.0;4.0;72.0;4.0;382.5623495;81.93065332854869
Genève-Eaux-Vives;Roches;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Roches.JPG;164.0;20.0;21.0;20.0;19.0;18.0;23.0;23.0;20.0;8.0;163.0;8.0;153.0;8.0;157.0;8.0;149.0;7.0;146.0;7.0;139.0;7.0;139.0;7.0;758.683403;142.80947262921802
Genève-Eaux-Vives;Vollandes;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Vollandes.JPG;300.0;30.0;20.0;22.0;19.0;57.0;52.0;55.0;45.0;15.0;281.0;14.0;287.0;13.0;284.0;14.0;283.0;14.0;273.0;13.0;272.0;14.0;275.0;13.0;2386.8466475;223.221099479748
Genève-Cité;Seujet;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Seujet.JPG;269.0;25.0;24.0;28.0;27.0;53.0;34.0;30.0;48.0;14.0;262.0;13.0;257.0;13.0;267.0;14.0;267.0;14.0;266.0;14.0;251.0;14.0;269.0;14.0;1850.4035495;188.51418397967302
Laconnex;Laconnex;Ouvert;https://ge.ch/sitg/geodata/SIAMEN/Photos_ecoles/Laconnex.JPG;61.0;0.0;0.0;0.0;0.0;11.0;22.0;19.0;9.0;3.0;67.0;3.0;62.0;3.0;62.0;3.0;64.0;3.0;74.0;3.0;63.0;3.0;56.0;3.0;925.7737000000001;184.045446558548
