,date cas,canton,age,genre_num,genre,nouveaux cas,name_fr
0,2020-02-24,TI,70 - 79,1,homme,1,Tessin
1,2020-02-27,TI,50 - 59,2,femme,1,Tessin
2,2020-02-27,TI,70 - 79,1,homme,2,Tessin
3,2020-02-29,TI,50 - 59,2,femme,1,Tessin
4,2020-03-01,TI,80+,1,homme,1,Tessin
5,2020-03-02,TI,20 - 29,1,homme,1,Tessin
6,2020-03-02,TI,40 - 49,2,femme,1,Tessin
7,2020-03-02,TI,50 - 59,2,femme,2,Tessin
8,2020-03-02,TI,60 - 69,1,homme,1,Tessin
9,2020-03-03,TI,10 - 19,1,homme,1,Tessin
10,2020-03-03,TI,20 - 29,1,homme,1,Tessin
11,2020-03-03,TI,30 - 39,1,homme,1,Tessin
12,2020-03-03,TI,30 - 39,2,femme,1,Tessin
13,2020-03-03,TI,40 - 49,1,homme,1,Tessin
14,2020-03-03,TI,40 - 49,2,femme,1,Tessin
15,2020-03-03,TI,50 - 59,1,homme,1,Tessin
16,2020-03-03,TI,60 - 69,1,homme,1,Tessin
17,2020-03-03,TI,70 - 79,2,femme,1,Tessin
18,2020-03-03,TI,80+,2,femme,1,Tessin
19,2020-03-04,TI,20 - 29,1,homme,1,Tessin
20,2020-03-04,TI,40 - 49,1,homme,1,Tessin
21,2020-03-04,TI,50 - 59,1,homme,2,Tessin
22,2020-03-04,TI,60 - 69,1,homme,1,Tessin
23,2020-03-04,TI,80+,2,femme,2,Tessin
24,2020-03-05,TI,0 - 9,2,femme,1,Tessin
25,2020-03-05,TI,30 - 39,2,femme,2,Tessin
26,2020-03-05,TI,40 - 49,1,homme,1,Tessin
27,2020-03-05,TI,40 - 49,2,femme,1,Tessin
28,2020-03-05,TI,50 - 59,1,homme,3,Tessin
29,2020-03-05,TI,50 - 59,2,femme,1,Tessin
30,2020-03-05,TI,60 - 69,2,femme,1,Tessin
31,2020-03-05,TI,70 - 79,1,homme,1,Tessin
32,2020-03-05,TI,80+,2,femme,3,Tessin
33,2020-03-06,TI,0 - 9,2,femme,1,Tessin
34,2020-03-06,TI,30 - 39,1,homme,3,Tessin
35,2020-03-06,TI,40 - 49,2,femme,1,Tessin
36,2020-03-06,TI,50 - 59,1,homme,2,Tessin
37,2020-03-06,TI,60 - 69,1,homme,1,Tessin
38,2020-03-06,TI,60 - 69,2,femme,1,Tessin
39,2020-03-07,TI,20 - 29,2,femme,1,Tessin
40,2020-03-07,TI,40 - 49,1,homme,4,Tessin
41,2020-03-07,TI,40 - 49,2,femme,2,Tessin
42,2020-03-07,TI,70 - 79,1,homme,1,Tessin
43,2020-03-07,TI,80+,1,homme,2,Tessin
44,2020-03-07,TI,80+,2,femme,2,Tessin
45,2020-03-08,TI,30 - 39,2,femme,1,Tessin
46,2020-03-08,TI,40 - 49,1,homme,2,Tessin
47,2020-03-08,TI,50 - 59,2,femme,2,Tessin
48,2020-03-08,TI,60 - 69,1,homme,1,Tessin
49,2020-03-08,TI,60 - 69,2,femme,3,Tessin
50,2020-03-09,TI,10 - 19,1,homme,1,Tessin
51,2020-03-09,TI,20 - 29,2,femme,2,Tessin
52,2020-03-09,TI,30 - 39,1,homme,3,Tessin
53,2020-03-09,TI,30 - 39,2,femme,5,Tessin
54,2020-03-09,TI,40 - 49,1,homme,4,Tessin
55,2020-03-09,TI,40 - 49,2,femme,4,Tessin
56,2020-03-09,TI,50 - 59,1,homme,6,Tessin
57,2020-03-09,TI,50 - 59,2,femme,3,Tessin
58,2020-03-09,TI,60 - 69,1,homme,2,Tessin
59,2020-03-09,TI,60 - 69,2,femme,1,Tessin
60,2020-03-09,TI,70 - 79,1,homme,7,Tessin
61,2020-03-09,TI,70 - 79,2,femme,3,Tessin
62,2020-03-09,TI,80+,1,homme,4,Tessin
63,2020-03-09,TI,80+,2,femme,3,Tessin
64,2020-03-10,TI,10 - 19,1,homme,1,Tessin
65,2020-03-10,TI,20 - 29,1,homme,1,Tessin
66,2020-03-10,TI,20 - 29,2,femme,1,Tessin
67,2020-03-10,TI,30 - 39,1,homme,4,Tessin
68,2020-03-10,TI,30 - 39,2,femme,2,Tessin
69,2020-03-10,TI,40 - 49,1,homme,4,Tessin
70,2020-03-10,TI,40 - 49,2,femme,4,Tessin
71,2020-03-10,TI,50 - 59,1,homme,8,Tessin
72,2020-03-10,TI,50 - 59,2,femme,6,Tessin
73,2020-03-10,TI,60 - 69,1,homme,3,Tessin
74,2020-03-10,TI,60 - 69,2,femme,5,Tessin
75,2020-03-10,TI,70 - 79,1,homme,6,Tessin
76,2020-03-10,TI,70 - 79,2,femme,1,Tessin
77,2020-03-10,TI,80+,1,homme,1,Tessin
78,2020-03-11,TI,20 - 29,1,homme,3,Tessin
79,2020-03-11,TI,20 - 29,2,femme,2,Tessin
80,2020-03-11,TI,30 - 39,1,homme,3,Tessin
81,2020-03-11,TI,30 - 39,2,femme,2,Tessin
82,2020-03-11,TI,40 - 49,1,homme,4,Tessin
83,2020-03-11,TI,40 - 49,2,femme,4,Tessin
84,2020-03-11,TI,50 - 59,1,homme,5,Tessin
85,2020-03-11,TI,50 - 59,2,femme,3,Tessin
86,2020-03-11,TI,60 - 69,1,homme,6,Tessin
87,2020-03-11,TI,60 - 69,2,femme,4,Tessin
88,2020-03-11,TI,70 - 79,1,homme,4,Tessin
89,2020-03-11,TI,70 - 79,2,femme,3,Tessin
90,2020-03-11,TI,80+,1,homme,4,Tessin
91,2020-03-11,TI,80+,2,femme,2,Tessin
92,2020-03-12,TI,10 - 19,1,homme,1,Tessin
93,2020-03-12,TI,20 - 29,1,homme,1,Tessin
94,2020-03-12,TI,20 - 29,2,femme,3,Tessin
95,2020-03-12,TI,30 - 39,1,homme,4,Tessin
96,2020-03-12,TI,30 - 39,2,femme,2,Tessin
97,2020-03-12,TI,40 - 49,1,homme,4,Tessin
98,2020-03-12,TI,40 - 49,2,femme,5,Tessin
99,2020-03-12,TI,50 - 59,1,homme,8,Tessin
100,2020-03-12,TI,50 - 59,2,femme,3,Tessin
101,2020-03-12,TI,60 - 69,1,homme,2,Tessin
102,2020-03-12,TI,60 - 69,2,femme,2,Tessin
103,2020-03-12,TI,70 - 79,1,homme,4,Tessin
104,2020-03-12,TI,70 - 79,2,femme,4,Tessin
105,2020-03-12,TI,80+,1,homme,3,Tessin
106,2020-03-12,TI,80+,2,femme,3,Tessin
107,2020-03-13,TI,0 - 9,2,femme,1,Tessin
108,2020-03-13,TI,10 - 19,2,femme,2,Tessin
109,2020-03-13,TI,20 - 29,1,homme,2,Tessin
110,2020-03-13,TI,20 - 29,2,femme,2,Tessin
111,2020-03-13,TI,30 - 39,1,homme,2,Tessin
112,2020-03-13,TI,30 - 39,2,femme,3,Tessin
113,2020-03-13,TI,40 - 49,1,homme,9,Tessin
114,2020-03-13,TI,40 - 49,2,femme,3,Tessin
115,2020-03-13,TI,50 - 59,1,homme,9,Tessin
116,2020-03-13,TI,50 - 59,2,femme,5,Tessin
117,2020-03-13,TI,60 - 69,1,homme,8,Tessin
118,2020-03-13,TI,60 - 69,2,femme,3,Tessin
119,2020-03-13,TI,70 - 79,1,homme,5,Tessin
120,2020-03-13,TI,70 - 79,2,femme,4,Tessin
121,2020-03-13,TI,80+,1,homme,1,Tessin
122,2020-03-13,TI,80+,2,femme,2,Tessin
123,2020-03-14,TI,10 - 19,1,homme,2,Tessin
124,2020-03-14,TI,10 - 19,2,femme,1,Tessin
