cinema
cinema;;;;;;;;;;
Tableau 1;;;;;;;;;;
;;;;;;;;;;T 16.2.1.6
;;;;;;;;;;
;;;;;;;;;;
;;Entrées de cinéma (en valeurs absolues et en %) par pays d'origine des films;;;;;;;;
;;;;;;;;;;
;;Total;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Année;Régions linguistiques;Total Entrées de cinéma ;Suisse en valeurs absolues;Suisse en %;USA en valeurs absolues;USA en %;Europe en valeurs absolues;Europe en %;Autres pays en valeurs absolues;Autres pays en %
1995;Total;14 796 645;218 700;1,5;10 828 121;73,2;3 197 361;21,6;552 463;3,7
1995;Suisse alémanique;9 576 244;178 225;1,9;7 340 357;76,7;1 676 975;17,5;380 687;4,0
1995;Suisse romande;4 784 593;40 279;0,8;3 128 473;65,4;1 449 580;30,3;166 261;3,5
1995;Suisse italienne;435 808;196;0,0;359 291;82,4;70 806;16,2;5 515;1,3
1996;Total;15 148 879;247 043;1,6;10 680 132;70,5;3 963 113;26,2;258 591;1,7
1996;Suisse alémanique;9 982 397;210 170;2,1;7 252 990;72,7;2 347 178;23,5;172 059;1,7
1996;Suisse romande;4 710 546;36 671;0,8;3 049 365;64,7;1 544 185;32,8;80 325;1,7
1996;Suisse italienne;455 936;202;0,0;377 777;82,9;71 750;15,7;6 207;1,4
1997;Total;15 547 976;358 636;2,3;10 815 331;69,6;3 789 609;24,4;584 400;3,8
1997;Suisse alémanique;10 111 302;276 872;2,7;7 126 350;70,5;2 318 614;22,9;389 466;3,9
1997;Suisse romande;4 954 771;73 529;1,5;3 348 306;67,6;1 357 916;27,4;175 020;3,5
1997;Suisse italienne;481 903;8 235;1,7;340 675;70,7;113 079;23,5;19 914;4,1
1998;Total;15 910 591;236 761;1,5;12 349 064;77,6;2 975 137;18,7;349 629;2,2
1998;Suisse alémanique;10 149 824;182 327;1,8;8 120 535;80,0;1 605 000;15,8;241 962;2,4
1998;Suisse romande;5 151 630;50 335;1,0;3 777 461;73,3;1 222 453;23,7;101 381;2,0
1998;Suisse italienne;609 137;4 099;0,7;451 068;74,1;147 684;24,2;6 286;1,0
1999;Total;15 403 378;314 377;2,0;10 703 448;69,5;3 768 673;24,5;616 880;4,0
1999;Suisse alémanique;10 031 278;268 987;2,7;7 052 144;70,3;2 254 983;22,5;455 164;4,5
1999;Suisse romande;4 868 538;41 694;0,9;3 287 803;67,5;1 390 504;28,6;148 537;3,1
1999;Suisse italienne;503 562;3 696;0,7;363 501;72,2;123 186;24,5;13 179;2,6
2000;Total;15 564 067;371 503;2,4;11 573 206;74,4;2 980 191;19,1;639 167;4,1
2000;Suisse alémanique;10 318 076;321 820;3,1;7 802 823;75,6;1 740 021;16,9;453 412;4,4
2000;Suisse romande;4 808 535;45 884;1,0;3 454 026;71,8;1 139 386;23,7;169 239;3,5
2000;Suisse italienne;437 456;3 799;0,9;316 357;72,3;100 784;23,0;16 516;3,8
2001;Total;17 082 457;389 590;2,3;10 514 812;61,6;5 369 231;31,4;808 824;4,7
2001;Suisse alémanique;11 362 459;356 101;3,1;7 221 941;63,6;3 231 506;28,4;552 911;4,9
2001;Suisse romande;5 148 378;32 007;0,6;2 911 623;56,6;1 968 103;38,2;236 645;4,6
2001;Suisse italienne;571 620;1 482;0,3;381 248;66,7;169 622;29,7;19 268;3,4
2002;Total;18 774 151;594 069;3,2;10 145 620;54,0;6 326 000;33,7;1 708 462;9,1
2002;Suisse alémanique;12 435 986;547 597;4,4;6 956 045;55,9;3 807 715;30,6;1 124 629;9,0
2002;Suisse romande;5 693 180;44 774;0,8;2 811 169;49,4;2 291 793;40,3;545 444;9,6
2002;Suisse italienne;644 985;1 698;0,3;378 406;58,7;226 492;35,1;38 389;6,0
2003;Total;16 477 732;908 549;5,5;10 666 957;64,7;3 189 828;19,4;1 712 398;10,4
2003;Suisse alémanique;11 089 662;840 813;7,6;7 216 074;65,1;1 811 811;16,3;1 220 964;11,0
2003;Suisse romande;4 820 590;65 639;1,4;3 052 345;63,3;1 245 725;25,8;456 881;9,5
2003;Suisse italienne;567 480;2 097;0,4;398 538;70,2;132 292;23,3;34 553;6,1
2004;Total;17 199 789;428 252;2,5;11 732 128;68,2;4 220 124;24,5;819 285;4,8
2004;Suisse alémanique;11 536 424;386 352;3,3;7 967 471;69,1;2 669 116;23,1;513 485;4,5
2004;Suisse romande;5 039 582;40 347;0,8;3 286 102;65,2;1 453 750;28,8;259 383;5,1
2004;Suisse italienne;623 783;1 553;0,2;478 555;76,7;97 258;15,6;46 417;7,4
2005;Total;14 950 008;874 676;5,9;8 707 206;58,2;4 486 467;30,0;881 659;5,9
2005;Suisse alémanique;9 988 894;804 892;8,1;5 790 031;58,0;2 780 373;27,8;613 598;6,1
2005;Suisse romande;4 411 200;66 943;1,5;2 561 526;58,1;1 539 431;34,9;243 300;5,5
2005;Suisse italienne;549 914;2 841;0,5;355 649;64,7;166 663;30,3;24 761;4,5
2006;Total;16 380 339;1 552 680;9,5;9 782 060;59,7;4 676 941;28,6;368 658;2,3
2006;Suisse alémanique;11 054 324;1 392 323;12,6;6 582 759;59,5;2 837 956;25,7;241 286;2,2
2006;Suisse romande;4 789 722;154 179;3,2;2 815 710;58,8;1 702 300;35,5;117 533;2,5
2006;Suisse italienne;536 293;6 178;1,2;383 591;71,5;136 685;25,5;9 839;1,8
2007;Total;13 785 956;697 369;5,1;8 818 053;64,0;3 985 534;28,9;285 000;2,1
2007;Suisse alémanique;9 234 657;573 517;6,2;5 959 627;64,5;2 492 555;27,0;208 958;2,3
2007;Suisse romande;4 045 215;115 125;2,8;2 544 387;62,9;1 314 130;32,5;71 573;1,8
2007;Suisse italienne;506 084;8 727;1,7;314 039;62,1;178 849;35,3;4 469;0,9
2008;Total;14 302 014;433 025;3,0;9 013 113;63,0;4 438 423;31,0;417 453;2,9
2008;Suisse alémanique;9 456 314;264 510;2,8;6 194 532;65,5;2 703 846;28,6;293 426;3,1
2008;Suisse romande;4 348 480;165 240;3,8;2 462 034;56,6;1 606 498;36,9;114 708;2,6
2008;Suisse italienne;497 220;3 275;0,7;356 547;71,7;128 079;25,8;9 319;1,9
2009;Total;15 250 603;520 210;3,4;10 375 766;68,0;4 068 643;26,7;285 984;1,9
2009;Suisse alémanique;10 225 773;436 884;4,3;7 113 737;69,6;2 503 506;24,5;171 646;1,7
2009;Suisse romande;4 515 281;80 466;1,8;2 886 459;63,9;1 442 030;31,9;106 326;2,4
2009;Suisse italienne;509 549;2 860;0,6;375 570;73,7;123 107;24,2;8 012;1,6
2010;Total;14 763 887;800 048;5,4;10 448 664;70,8;3 265 310;22,1;249 865;1,7
2010;Suisse alémanique;9 787 887;674 207;6,9;7 156 610;73,1;1 791 679;18,3;165 391;1,7
2010;Suisse romande;4 462 218;117 351;2,6;2 932 956;65,7;1 332 406;29,9;79 505;1,8
2010;Suisse italienne;513 782;8 490;1,7;359 098;69,9;141 225;27,5;4 969;1,0
2011;Total;14 896 020;637 554;4,3;9 625 069;64,6;4 345 718;29,2;287 679;1,9
2011;Suisse alémanique;9 776 846;507 477;5,2;6 673 588;68,3;2 409 730;24,6;186 051;1,9
2011;Suisse romande;4 671 790;127 846;2,7;2 654 877;56,8;1 793 796;38,4;95 271;2,0
2011;Suisse italienne;447 384;2 231;0,5;296 604;66,3;142 192;31,8;6 357;1,4
2012;Total;15 529 289;750 509;4,8;9 036 770;58,2;5 351 220;34,5;390 790;2,5
2012;Suisse alémanique;10 484 708;555 763;5,3;6 309 455;60,2;3 351 719;32,0;267 771;2,6
2012;Suisse romande;4 608 276;188 368;4,1;2 428 086;52,7;1 874 159;40,7;117 663;2,6
2012;Suisse italienne;436 305;6 378;1,5;299 229;68,6;125 342;28,7;5 356;1,2
2013;Total;13 676 504;849 151;6,2;9 171 355;67,1;3 307 874;24,2;348 124;2,5
2013;Suisse alémanique;9 219 224;692 891;7,5;6 244 645;67,7;2 073 778;22,5;207 910;2,3
2013;Suisse romande;4 070 120;138 406;3,4;2 658 158;65,3;1 140 662;28,0;132 894;3,3
2013;Suisse italienne;387 160;17 854;4,6;268 552;69,4;93 434;24,1;7 320;1,9
2014;Total;12 940 965;624 755;4,8;8 013 261;61,9;3 855 426;29,8;447 523;3,5
2014;Suisse alémanique;8 535 657;519 838;6,1;5 553 422;65,1;2 233 193;26,2;229 204;2,7
2014;Suisse romande;4 090 041;94 928;2,3;2 231 804;54,6;1 558 979;38,1;204 330;5,0
2014;Suisse italienne;315 267;9 989;3,2;228 035;72,3;63 254;20,1;13 989;4,4
2015;Total;14 407 373;779 510;5,4;9 426 527;65,4;3 643 827;25,3;557 509;3,9
2015;Suisse alémanique;9 787 921;703 003;7,2;6 353 618;64,9;2 399 964;24,5;331 336;3,4
2015;Suisse romande;4 253 858;64 154;1,5;2 796 473;65,7;1 177 462;27,7;215 769;5,1
2015;Suisse italienne;365 594;12 353;3,4;276 436;75,6;66 401;18,2;10 404;2,8
2016;Total;13 443 890;596 653;4,4;9 329 551;69,4;3 130 394;23,3;387 292;2,9
2016;Suisse alémanique;8 734 759;403 400;4,6;6 286 742;72,0;1 824 952;20,9;219 665;2,5
2016;Suisse romande;4 384 249;187 363;4,3;2 801 532;63,9;1 230 886;28,1;164 468;3,8
2016;Suisse italienne;324 882;5 890;1,8;241 277;74,3;74 556;22,9;3 159;1,0
2017;Total;13 532 638;892 981;6,6;9 090 821;67,2;2 973 763;22,0;575 073;4,2
2017;Suisse alémanique;8 992 194;705 936;7,9;6 146 269;68,4;1 760 050;19,6;379 939;4,2
2017;Suisse romande;4 225 978;164 108;3,9;2 692 900;63,7;1 182 965;28,0;186 005;4,4
2017;Suisse italienne;314 466;22 937;7,3;251 652;80,0;30 748;9,8;9 129;2,9
2018;Total;11 740 410;745 548;6,4;7 873 635;67,1;2 772 421;23,6;348 806;3,0
2018;Suisse alémanique;7 708 405;592 778;7,7;5 255 321;68,2;1 668 362;21,6;191 944;2,5
2018;Suisse romande;3 730 807;133 853;3,6;2 378 985;63,8;1 067 826;28,6;150 143;4,0
2018;Suisse italienne;301 198;18 917;6,3;239 329;79,5;36 233;12,0;6 719;2,2
2019;Total;12 506 143;839 167;6,7;8 324 137;66,6;2 965 112;23,7;377 727;3,0
2019;Suisse alémanique;8 131 209;691 559;8,5;5 486 948;67,5;1 739 070;21,4;213 632;2,6
2019;Suisse romande;4 043 422;141 455;3,5;2 568 019;63,5;1 177 651;29,1;156 297;3,9
2019;Suisse italienne;331 512;6 153;1,9;269 170;81,2;48 391;14,6;7 798;2,4
